ID,YEAR,DATE,SEASON,SIZE,AVG_TMAX,AVG_TMIN,AVG_HUM,N,P,K,IRRIGATION_TYPE,MUNICIPALITY,PROVINCE,PRODUCTION (KG)
125,2008,7,WET,1.5,31.5,25.2,86.83,34.5,0,0,GRAVITY,STA ROSA,LAGUNA,9322
125,2007,11,DRY,1.5,30.3,24.1,69.33,53.67,0,0,GRAVITY,STA ROSA,LAGUNA,8850
309,2008,6,WET,1.5,32.7,26,86.83,57.5,0,0,GRAVITY,CABUYAO,LAGUNA,7950
313,2008,7,WET,1.2,31.5,25.2,86.83,30.67,0,0,GRAVITY,CABUYAO,LAGUNA,5243.92
313,2007,11,DRY,1.2,30.3,24.1,69.33,38.33,0,0,GRAVITY,CABUYAO,LAGUNA,7067.5
316,2007,11,DRY,1.2,30.3,24.1,69.33,46,0,0,GRAVITY,CABUYAO,LAGUNA,3572.2
316,2008,7,WET,1.2,31.5,25.2,86.83,46,0,0,GRAVITY,CABUYAO,LAGUNA,5568.2
511,2008,7,WET,1.2,31.5,25.2,86.83,35.67,3.5,3.5,RAINFED,CABUYAO,LAGUNA,5931.99
628,2007,2,DRY,1.3,31.3,23.5,69.33,33,7,7,GRAVITY,CALAMBA,LAGUNA,7852
628,2008,6,WET,1.3,32.7,26,86.83,26.5,21,21,GRAVITY,CALAMBA,LAGUNA,6552
630,2008,7,WET,2.45,31.5,25.2,86.83,38,14,14,GRAVITY,CALAMBA,LAGUNA,17626.21
630,2007,12,DRY,2.45,30.6,23.9,69.33,81.75,28,28,GRAVITY,CALAMBA,LAGUNA,15090.75
702,2007,1,DRY,2.25,30.6,23.6,69.33,115,0,0,GRAVITY,CALAMBA,LAGUNA,16550
702,2008,7,WET,2.25,31.5,25.2,86.83,88.33,35,35,GRAVITY,CALAMBA,LAGUNA,11401.02
717,2007,1,DRY,2.4,30.6,23.6,69.33,27.66,14,14,GRAVITY,CALAMBA,LAGUNA,5701.5
717,2008,8,WET,1.4,30.8,24.7,86.83,30,14,14,GRAVITY,CALAMBA,LAGUNA,8223.5
721,2007,12,DRY,0.7,30.6,23.9,69.33,17.67,7,7,GRAVITY,CALAMBA,LAGUNA,3676.8
803,2008,7,WET,2,31.5,25.2,86.83,103.5,0,0,GRAVITY,BINAN,LAGUNA,8088.6
803,2007,10,DRY,2,30.9,24.9,69.33,34,20,0,GRAVITY,BINAN,LAGUNA,9844.2
820,2008,6,WET,1.3,32.7,26,86.83,80.5,0,0,GRAVITY,CABUYAO,LAGUNA,10969.41
820,2007,1,DRY,1.3,30.6,23.6,69.33,84.33,0,0,GRAVITY,CABUYAO,LAGUNA,7048.5
821,2008,7,WET,2,31.5,25.2,86.83,92,0,0,GRAVITY,CABUYAO,LAGUNA,10833.5
826,2008,6,WET,1.5,32.7,26,86.83,23,0,0,GRAVITY,CABUYAO,LAGUNA,4333.16
827,2008,7,WET,2,31.5,25.2,86.83,31.5,7,7,PUMP,CABUYAO,LAGUNA,10145.5
830,2008,6,WET,1,32.7,26,86.83,28.75,0,0,GRAVITY,CALAMBA,LAGUNA,3937
830,2007,2,DRY,1,31.3,23.5,69.33,26.67,0,0,GRAVITY,CALAMBA,LAGUNA,5900
831,2008,7,WET,0.8,31.5,25.2,86.83,46,0,0,GRAVITY,CALAMBA,LAGUNA,4330.7
831,2007,1,DRY,0.8,30.6,23.6,69.33,46,0,0,GRAVITY,CALAMBA,LAGUNA,5880
834,2007,2,DRY,0.36,31.3,23.5,69.33,16.7,7,7,GRAVITY,CABUYAO,LAGUNA,2891
834,2008,7,WET,0.36,31.5,25.2,86.83,16.87,0,0,GRAVITY,CABUYAO,LAGUNA,2322
843,2008,6,WET,0.25,32.7,26,86.83,0,0,0,GRAVITY,CALAUAN,LAGUNA,605
845,2007,12,DRY,1.3,30.6,23.9,69.33,59.8,0,0,GRAVITY,CALAUAN,LAGUNA,5757
845,2008,6,WET,1.3,32.7,26,86.83,46,0,0,GRAVITY,CALAUAN,LAGUNA,6333.27
847,2007,12,DRY,1,30.6,23.9,69.33,46,0,0,GRAVITY,CALAUAN,LAGUNA,3900
847,2008,6,WET,1,32.7,26,86.83,16.75,0,0,GRAVITY,CALAUAN,LAGUNA,5550
848,2008,7,WET,2.8,31.5,25.2,86.83,72.5,0,0,GRAVITY,CALAUAN,LAGUNA,16632
848,2007,1,DRY,2.8,30.6,23.6,69.33,69,60,72,GRAVITY,CALAUAN,LAGUNA,14058
850,2008,6,WET,0.9,32.7,26,86.83,0,0,0,GRAVITY,CALAUAN,LAGUNA,1710
851,2008,6,WET,0.8,32.7,26,86.83,34.5,0,0,GRAVITY,CALAUAN,LAGUNA,3061.76
851,2007,12,DRY,0.8,30.6,23.9,69.33,46,0,0,GRAVITY,CALAUAN,LAGUNA,3555
852,2007,12,DRY,0.75,30.6,23.9,69.33,38.33,0,0,GRAVITY,CALAUAN,LAGUNA,3364
852,2008,6,WET,0.75,32.7,26,86.83,46,0,0,GRAVITY,CALAUAN,LAGUNA,5669.44
854,2007,12,DRY,0.6,30.6,23.9,69.33,34.5,0,0,GRAVITY,CALAUAN,LAGUNA,4000
854,2008,6,WET,0.6,32.7,26,86.83,28.75,0,0,GRAVITY,CALAUAN,LAGUNA,4433.46
858,2008,7,WET,0.3,31.5,25.2,86.83,0,0,0,GRAVITY,CALAUAN,LAGUNA,600
859,2007,12,DRY,0.5,30.6,23.9,69.33,15.18,0,0,GRAVITY,CALAUAN,LAGUNA,2484
859,2008,6,WET,0.5,32.7,26,86.83,23,0,0,GRAVITY,CALAUAN,LAGUNA,2853.83
861,2007,12,DRY,2,30.6,23.9,69.33,66,14,14,GRAVITY,CALAUAN,LAGUNA,9109.8
861,2008,6,WET,2,32.7,26,86.83,92,0,0,GRAVITY,CALAUAN,LAGUNA,9573.92
863,2007,11,DRY,2,30.3,24.1,69.33,69,0,0,GRAVITY,CALAUAN,LAGUNA,6105
863,2008,5,WET,2,32,25.4,86.83,69,0,0,GRAVITY,CALAUAN,LAGUNA,8983.15
867,2008,6,WET,2.5,32.7,26,86.83,80.5,0,0,GRAVITY,CABUYAO,LAGUNA,16755.44
870,2008,6,WET,1,32.7,26,86.83,92,0,0,GRAVITY,CALAMBA,LAGUNA,4780.5
870,2008,6,WET,0.6,32.7,26,86.83,92,0,0,GRAVITY,CALAMBA,LAGUNA,3374.5
870,2007,1,DRY,1,30.6,23.6,69.33,53.67,0,0,GRAVITY,CALAMBA,LAGUNA,6850
870,2007,1,DRY,0.6,30.6,23.6,69.33,30.66,0,0,GRAVITY,CALAMBA,LAGUNA,4550
871,2008,6,WET,0.5,32.7,26,86.83,23,0,0,GRAVITY,BAY,LAGUNA,2500
871,2007,12,DRY,0.5,30.6,23.9,69.33,23,0,0,GRAVITY,BAY,LAGUNA,2362.5
